schemaVersion,recordType,source,content,collectedAt
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/deepnote/deepnote'}","{'entityName': 'deepnote', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925767
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/baichuan-inc/Baichuan-13B'}","{'entityName': 'baichuan-inc', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925776
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/victordibia/handtrack.js'}","{'entityName': 'victordibia', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925784
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/tirthajyoti/Papers-Literature-ML-DL-RL-AI'}","{'entityName': 'tirthajyoti', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925792
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/muellerberndt/mini-agi'}","{'entityName': 'muellerberndt', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925800
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/tkarim45/Beginner-Data-Science-Projects'}","{'entityName': 'tkarim45', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925808
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/louisfb01/best_AI_papers_2021'}","{'entityName': 'louisfb01', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925816
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/explosion/thinc'}","{'entityName': 'explosion', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925825
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/limbonaut/limboai'}","{'entityName': 'limbonaut', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925833
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/amusi/ICCV2025-Papers-with-Code'}","{'entityName': 'amusi', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925847
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/zjunlp/EasyEdit'}","{'entityName': 'zjunlp', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925855
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/Trusted-AI/AIF360'}","{'entityName': 'Trusted-AI', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925862
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/MaximeVandegar/Papers-in-100-Lines-of-Code'}","{'entityName': 'MaximeVandegar', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925871
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/leptonai/leptonai'}","{'entityName': 'leptonai', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925880
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/rasbt/deep-learning-book'}","{'entityName': 'rasbt', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925889
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/ivanseidel/IAMDinosaur'}","{'entityName': 'ivanseidel', 'data': {'employeeCount': None}}",2026-07-20T09:33:17.925896
